date,time,method,field_observer,water_level_cm,site_code,field_species_name,genus_name,binomial,binomial_code,sample_number,sample_waypoint_name,sample_lon_dd,sample_lat_dd,sub_sample_number,depth_cm,sample_id,field_sample_id,length_cm,circum_cm,wet_weight_g,wet_w_scale,wet_w_obs,dry_weight_g,dry_w_scale,dry_w_obs,notes
2021_06_02,NA,method_1,BB,NA,beis_a,F. serratus,fucus,fucus_serratus,fu_se,1,NA,NA,NA,NA,NA,NA,NA,21,5,8,waterproof_scale,BB,1.86,scout_pro_field_scale,BB,sample label dry weight: BI1 F.S.
2021_06_02,NA,method_1,BB,NA,beis_a,F. serratus,fucus,fucus_serratus,fu_se,2,NA,NA,NA,NA,NA,NA,NA,36,7,22,waterproof_scale,BB,5.21,sartorius_scale,BB,sample label dry weight: BI2 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,1,NA,NA,NA,NA,NA,NA,NA,65,20,432,waterproof_scale,BB,84.86,scout_pro_field_scale,BB,sample label dry weight: LH1 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,2,NA,NA,NA,NA,NA,NA,NA,78,8,157,waterproof_scale,BB,29.55,sartorius_scale,BB,sample label dry weight: LH2 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,3,NA,NA,NA,NA,NA,NA,NA,63,22,631,waterproof_scale,BB,120.95,scout_pro_field_scale,BB,sample label dry weight: LH3 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,4,NA,NA,NA,NA,NA,NA,NA,70,12,198,waterproof_scale,BB,37.6,scout_pro_field_scale,BB,sample label dry weight: LH4 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,5,NA,NA,NA,NA,NA,NA,NA,43,8,50,waterproof_scale,BB,11.17,scout_pro_field_scale,BB,sample label dry weight: LH5 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,6,NA,NA,NA,NA,NA,NA,NA,41,8,49,waterproof_scale,BB,11.51,scout_pro_field_scale,BB,sample label dry weight: LH6 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,7,NA,NA,NA,NA,NA,NA,NA,27.5,5,14,waterproof_scale,BB,4.35,sartorius_scale,BB,sample label dry weight: LH7 F.S.
2021_06_02,NA,method_1,BB,NA,laho_c,F. serratus,fucus,fucus_serratus,fu_se,8,NA,NA,NA,NA,NA,NA,NA,20,3,5,waterproof_scale,BB,0.99,scout_pro_field_scale,BB,sample label dry weight: LH8 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,1,NA,NA,NA,NA,NA,NA,NA,40.1,9,50,waterproof_scale,BB,11.15,sartorius_scale,BB,sample label dry weight: LI1 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,2,NA,NA,NA,NA,NA,NA,NA,87.5,24,662,waterproof_scale,BB,125.62,scout_pro_field_scale,BB,sample label dry weight: LI2 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,3,NA,NA,NA,NA,NA,NA,NA,41.5,10,74,waterproof_scale,BB,14.25,scout_pro_field_scale,BB,sample label dry weight: LI3 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,4,NA,NA,NA,NA,NA,NA,NA,37.5,6,37,waterproof_scale,BB,7.11,sartorius_scale,BB,sample label dry weight: LI4 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,5,NA,NA,NA,NA,NA,NA,NA,34.5,5,31,waterproof_scale,BB,6.38,scout_pro_field_scale,BB,sample label dry weight: LI5 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,6,NA,NA,NA,NA,NA,NA,NA,40,5.5,30,waterproof_scale,BB,6.48,scout_pro_field_scale,BB,sample label dry weight: LI6 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,7,NA,NA,NA,NA,NA,NA,NA,28,7,19,waterproof_scale,BB,4.35,sartorius_scale,BB,sample label dry weight: LI7 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,F. serratus,fucus,fucus_serratus,fu_se,8,NA,NA,NA,NA,NA,NA,NA,26.5,4,10,waterproof_scale,BB,2.5,scout_pro_field_scale,BB,sample label dry weight: LI8 F.S.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,1,NA,NA,NA,NA,NA,NA,NA,140,22,1272,waterproof_scale,BB,343.47,scout_pro_field_scale,BB,sample label dry weight: FS1 A.N.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,2,NA,NA,NA,NA,NA,NA,NA,50,20,461,waterproof_scale,BB,119.69,scout_pro_field_scale,BB,sample label dry weight: FS2 A.N.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,3,NA,NA,NA,NA,NA,NA,NA,71,5,57,waterproof_scale,BB,14.89,scout_pro_field_scale,BB,sample label dry weight: FS3 A.N.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,4,NA,NA,NA,NA,NA,NA,NA,80,12,183,waterproof_scale,BB,54.67,scout_pro_field_scale,BB,sample label dry weight: FS4 A.N.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,5,NA,NA,NA,NA,NA,NA,NA,48,3,19,waterproof_scale,BB,5.85,scout_pro_field_scale,BB,sample label dry weight: FS5 A.N.
2021_06_01,NA,method_1,BB,NA,maku_a,Ascophyllym,ascophyllum,ascophyllum_nodosum,as_no,6,NA,NA,NA,NA,NA,NA,NA,62,4,32,waterproof_scale,BB,9.1,scout_pro_field_scale,BB,sample label dry weight: FS6 A.N.
