plant_id,site_code,hor_pos,depth_treatment,tile_id,plant_no,binomial_code,trait_tdmc,trait_thickness,trait_STA,trait_SBA,trait_SAP,trait_float,dry_weight_g_daily_change
WAE1,W,A,-5,WAE,1,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE2,W,A,-5,WAE,2,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE3,W,A,-5,WAE,3,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE4,W,A,-5,WAE,4,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE5,W,A,-5,WAE,5,fu_ve,0.381,0.26166666666666666,2864.5231846019246,3784.3466424682397,23.86571956513024,24.08554367752174,0.6408775496126331
WAE6,W,A,-5,WAE,6,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE7,W,A,-5,WAE,7,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE8,W,A,-5,WAE,8,fu_ve,NA,NA,NA,NA,NA,0,NA
WAE9,W,A,-5,WAE,9,fu_ve,NA,NA,NA,NA,NA,0,NA
WAF1,W,A,-12,WAF,1,as_no,0.33585,1.4883333333333333,1192.5413130861991,NA,18.238180348584372,0,0.931027654183808
WAF2,W,A,-12,WAF,2,as_no,NA,NA,NA,NA,NA,0,NA
WAF3,W,A,-12,WAF,3,as_no,NA,NA,NA,NA,NA,0,NA
WAF4,W,A,-12,WAF,4,as_no,NA,NA,NA,NA,NA,0,NA
WAF5,W,A,-12,WAF,5,as_no,0.32007220216606497,1.4966666666666666,1461.0985788405144,NA,14.476750098623077,17.81157125202424,1.1888716683509621
WAF6,W,A,-12,WAF,6,as_no,NA,NA,NA,NA,NA,0,NA
WAF7,W,A,-12,WAF,7,as_no,NA,NA,NA,NA,NA,0,NA
WAF8,W,A,-12,WAF,8,as_no,NA,NA,NA,NA,NA,0,NA
WAF9,W,A,-12,WAF,9,as_no,NA,NA,NA,NA,NA,0,NA
WAG1,W,A,-40,WAG,1,as_no,NA,NA,NA,NA,NA,0,NA
WAG2,W,A,-40,WAG,2,as_no,NA,NA,NA,NA,NA,0,NA
WAG3,W,A,-40,WAG,3,as_no,NA,NA,NA,NA,NA,0,NA
WAG4,W,A,-40,WAG,4,as_no,NA,NA,NA,NA,NA,0,NA
WAG5,W,A,-40,WAG,5,as_no,NA,NA,NA,NA,NA,0,NA
WAG6,W,A,-40,WAG,6,as_no,NA,NA,NA,NA,NA,0,NA
WAG7,W,A,-40,WAG,7,as_no,NA,NA,NA,NA,NA,0,NA
WAG8,W,A,-40,WAG,8,as_no,NA,NA,NA,NA,NA,0,NA
WAG9,W,A,-40,WAG,9,as_no,NA,NA,NA,NA,NA,0,NA
WAH1,W,A,-40,WAH,1,fu_sp,NA,NA,NA,NA,NA,0,NA
WAH2,W,A,-40,WAH,2,fu_sp,NA,NA,NA,NA,NA,0,NA
WAH3,W,A,-40,WAH,3,fu_sp,NA,NA,NA,NA,NA,0,NA
WAH4,W,A,-40,WAH,4,fu_sp,0.3186486486486485,0.415,3721.289228159459,4519.261213720318,19.956696960599693,0,-1.0626076553836796
WAH5,W,A,-40,WAH,5,fu_sp,NA,NA,NA,NA,NA,0,NA
WAH6,W,A,-40,WAH,6,fu_sp,0.28754838709677416,0.3466666666666667,3651.940767332286,4169.485773949361,27.902356238589512,0,0.3629257232954942
WAH7,W,A,-40,WAH,7,fu_sp,0.29886363636363633,0.3066666666666667,3098.0988593155894,4289.896128423043,33.36254125277407,0,-0.9301421114344532
WAH8,W,A,-40,WAH,8,fu_sp,NA,NA,NA,NA,NA,0,NA
WAH9,W,A,-40,WAH,9,fu_sp,NA,NA,NA,NA,NA,0,NA
WBE1,W,B,-5,WBE,1,as_no,0.36647668393782384,1.9833333333333336,1038.6681747490456,NA,21.780507979614402,10.067783611108247,0.38539276788848226
WBE2,W,B,-5,WBE,2,as_no,NA,NA,NA,NA,NA,0,NA
WBE3,W,B,-5,WBE,3,as_no,NA,NA,NA,NA,NA,0,NA
WBE4,W,B,-5,WBE,4,as_no,NA,NA,NA,NA,NA,0,NA
WBE5,W,B,-5,WBE,5,as_no,NA,NA,NA,NA,NA,0,NA
WBE6,W,B,-5,WBE,6,as_no,NA,NA,NA,NA,NA,0,NA
WBE7,W,B,-5,WBE,7,as_no,NA,NA,NA,NA,NA,0,NA
WBE8,W,B,-5,WBE,8,as_no,NA,NA,NA,NA,NA,0,NA
WBE9,W,B,-5,WBE,9,as_no,0.3325714285714286,1.845,1164.123711340206,NA,20.496499815461316,21.159868044797232,0.692224810345617
WBF1,W,B,-12,WBF,1,fu_ve,0.3595555555555556,0.265,2941.9447878038727,4501.18845500849,27.014674362335864,41.9396794298761,1.0357805655868386
WBF2,W,B,-12,WBF,2,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF3,W,B,-12,WBF,3,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF4,W,B,-12,WBF,4,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF5,W,B,-12,WBF,5,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF6,W,B,-12,WBF,6,fu_ve,0.2866057441253264,0.2783333333333333,4453.539218365673,6281.900171046494,35.113986767924395,40.220323183427666,2.072749097535371
WBF7,W,B,-12,WBF,7,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF8,W,B,-12,WBF,8,fu_ve,NA,NA,NA,NA,NA,0,NA
WBF9,W,B,-12,WBF,9,fu_ve,NA,NA,NA,NA,NA,0,NA
WBG1,W,B,-28,WBG,1,fu_ve,0.28785714285714287,0.2816666666666667,6930.2729528535965,7860.062893081759,24.323524032641544,0,-1.480149704153497
WBG2,W,B,-28,WBG,2,fu_ve,NA,NA,NA,NA,NA,0,NA
WBG3,W,B,-28,WBG,3,fu_ve,NA,NA,NA,NA,NA,0,NA
WBG4,W,B,-28,WBG,4,fu_ve,NA,NA,NA,NA,NA,0,NA
WBG5,W,B,-28,WBG,5,fu_ve,NA,NA,NA,NA,NA,0,NA
