species,terms,N,r2,AIC
F. spiralis,(Int.) + log_length_cm + log_circum_cm + log_circum_cm2,25,0.95,22.7
F. spiralis,(Int.) + log_length_cm + log_circum_cm,25,0.92,32.4
F. spiralis,(Int.) + log_length_cm + log_circum_cm + log_length_cm:log_circum_cm,25,0.92,33
F. spiralis,(Int.) + log_circum_cm2,25,0.89,38.3
F. spiralis,(Int.) + log_circum_cm + log_circum_cm2,25,0.89,38.5
F. spiralis,(Int.) + log_length_cm + log_length_cm2,25,0.83,50.7
F. spiralis,(Int.) + log_length_cm + log_length_cm2,25,0.83,50.7
F. spiralis,(Int.) + log_length_cm,25,0.79,53.7
F. spiralis,(Int.),25,0,90.4
F. vesiculosus,(Int.) + log_length_cm + log_circum_cm + log_circum_cm2,33,0.84,47.7
F. vesiculosus,(Int.) + log_circum_cm2,33,0.8,52.1
F. vesiculosus,(Int.) + log_circum_cm + log_circum_cm2,33,0.8,53.2
F. vesiculosus,(Int.) + log_length_cm + log_circum_cm,33,0.79,55.6
F. vesiculosus,(Int.) + log_length_cm + log_circum_cm + log_length_cm:log_circum_cm,33,0.79,56.4
F. vesiculosus,(Int.) + log_length_cm,33,0.24,95.6
F. vesiculosus,(Int.) + log_length_cm + log_length_cm2,33,0.24,97.5
F. vesiculosus,(Int.) + log_length_cm + log_length_cm2,33,0.24,97.5
F. vesiculosus,(Int.),33,0,102.6
A. nodosum,(Int.) + log_length_cm + log_circum_cm,19,0.97,3.2
A. nodosum,(Int.) + log_length_cm + log_circum_cm + log_length_cm:log_circum_cm,19,0.97,5.2
A. nodosum,(Int.) + log_length_cm + log_circum_cm + log_circum_cm2,19,0.97,5.2
A. nodosum,(Int.) + log_circum_cm + log_circum_cm2,19,0.93,20.8
A. nodosum,(Int.) + log_circum_cm2,19,0.91,23.6
A. nodosum,(Int.) + log_length_cm,19,0.56,53.1
A. nodosum,(Int.) + log_length_cm + log_length_cm2,19,0.56,55.1
A. nodosum,(Int.) + log_length_cm + log_length_cm2,19,0.56,55.1
A. nodosum,(Int.),19,0,66.7
F. serratus,(Int.) + log_length_cm + log_circum_cm,24,0.97,6.8
F. serratus,(Int.) + log_length_cm + log_circum_cm + log_circum_cm2,24,0.97,8.4
F. serratus,(Int.) + log_length_cm + log_circum_cm + log_length_cm:log_circum_cm,24,0.97,8.8
F. serratus,(Int.) + log_circum_cm + log_circum_cm2,24,0.92,27.1
F. serratus,(Int.) + log_circum_cm2,24,0.9,31.9
F. serratus,(Int.) + log_length_cm,24,0.88,35.7
F. serratus,(Int.) + log_length_cm + log_length_cm2,24,0.88,37.4
F. serratus,(Int.) + log_length_cm + log_length_cm2,24,0.88,37.4
F. serratus,(Int.),24,0,85.1
