date,site_code,transect_id,transect_waypoint_name,GPS_device,transect_lat_dd,transect_lon_dd,time,position,water_level_cm,depth_cm,binomial_code,length_cm,circum_cm,field_observer,notes
2021_06_23,laho_a,1,"""027""",GPS1,,,10h47,0,-22,2,-9999,-9999,-9999,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h50,1,-22,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h51,2,-22,NA,fu_sp,13,3,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h51,2,-22,NA,fu_sp,13,3,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,13,0.75,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,12,0.75,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,18,2,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,24,4,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,22,0.75,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10H53,3,-22,NA,fu_sp,10,0.75,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,15,2,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h53,3,-22,NA,fu_sp,21,2,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,10h59,4,-20,NA,-9999,-9999,-9999,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h01,5,-20,NA,-9999,-9999,-9999,LG,11 depth does not make sense
2021_06_23,laho_a,1,"""027""",GPS1,,,11h02,6,-20,NA,fu_ve,28,4,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h04,7,-20,NA,fu_ve,28,0.75,LG,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h07,8,-20,NA,fu_ve,74,7,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h07,8,-20,NA,fu_ve,12,2,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h07,8,-20,NA,fu_ve,15,1,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h10,9,-20,NA,fu_ve,10.5,1.5,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h11,10,-20,-10,fu_se,31,6,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h13,11,-19,NA,fu_se,58,9,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h13,11,-19,NA,fu_se,88,18,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h13,11,-19,NA,fu_se,17,2,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h13,11,-19,NA,fu_se,52,13,BB,
2021_06_23,laho_a,1,"""027""",GPS1,,,11h20,12,-19,-18,fu_se,57,7,BB,
